ts,type,side,price_ticks,qty,id
1784862983871177480,cancel,sell,653408,0,9704
1784862983871177480,cancel,sell,653457,0,9718
1784862983871177480,add,sell,653457,20739,9720
1784862983871906677,add,sell,653395,765234,9721
1784862984062435386,cancel,sell,653430,0,9719
1784862984062435386,cancel,sell,653457,0,9720
1784862984062435386,add,sell,653457,20739,9722
1784862984062677732,cancel,buy,653249,0,9716
1784862984062677732,add,buy,653249,1997909,9723
1784862984062756508,cancel,sell,653395,0,9721
1784862984062756508,cancel,sell,653458,0,9709
1784862984062756508,add,sell,653458,849,9724
1784862984065368961,add,sell,653385,765247,9725
1784862984677082508,cancel,buy,653163,0,9678
1784862984677082508,add,buy,653163,2625504,9726
1784862984677303355,cancel,buy,653249,0,9723
1784862984677303355,add,buy,653249,1967318,9727
1784862984677303355,add,buy,653245,30591,9728
1784862984677372048,cancel,buy,653241,0,9612
1784862984677372048,cancel,buy,653125,0,9706
1784862984677372048,add,buy,653125,93920,9729
1784862984677419334,cancel,buy,653249,0,9727
1784862984677419334,add,buy,653249,1968849,9730
1784862984677454832,cancel,sell,653417,0,9543
1784862984677454832,add,sell,653417,132624,9731
1784862984677500757,cancel,buy,653249,0,9730
1784862984677500757,add,buy,653249,2125668,9732
1784862984881637304,cancel,buy,653245,0,9728
1784862984881637304,cancel,buy,653124,0,9715
1784862984881637304,add,buy,653124,110000,9733
1784862984881735996,cancel,buy,653244,0,9676
1784862984881735996,add,buy,653244,32121,9734
1784862985086314754,cancel,buy,653244,0,9734
1784862985086314754,add,buy,653244,1531,9735
1784862985086314754,add,buy,653245,30591,9736
1784862985096599466,add,sell,653414,765212,9737
1784862985142474860,cancel,buy,653249,0,9732
1784862985142474860,add,buy,653249,2066668,9738
1784862985142720814,cancel,sell,653371,0,9714
1784862985142720814,cancel,sell,653457,0,9722
1784862985142720814,add,sell,653457,20739,9739
1784862985146696318,cancel,buy,653249,0,9738
1784862985146696318,add,buy,653249,2031949,9740
1784862985194200678,add,buy,653236,51,9741
1784862985393570042,cancel,buy,653245,0,9736
1784862985393570042,cancel,buy,653125,0,9729
1784862985393570042,add,buy,653125,93920,9742
1784862985393740148,cancel,buy,653244,0,9735
1784862985393740148,add,buy,653244,32121,9743
1784862985441630367,cancel,buy,653224,0,9694
1784862985441630367,cancel,buy,653124,0,9733
1784862985441630367,add,buy,653124,110000,9744
1784862985441630367,cancel,buy,653244,0,9743
1784862985441630367,add,buy,653244,3675016,9745
1784862985465507075,cancel,buy,653244,0,9745
1784862985465507075,add,buy,653244,32121,9746
1784862985465507075,add,buy,653234,3642945,9747
1784862985499309214,cancel,buy,653234,0,9747
1784862985499309214,cancel,buy,653124,0,9744
1784862985499309214,add,buy,653124,110000,9748
1784862985499309214,add,buy,653224,3642968,9749
1784862985501926608,cancel,buy,653244,0,9746
1784862985501926608,add,buy,653244,1531,9750
1784862985501926608,add,buy,653245,30591,9751
1784862985549803763,cancel,sell,653385,0,9725
1784862985549803763,cancel,sell,653458,0,9724
1784862985549803763,add,sell,653458,849,9752
1784862985550264060,cancel,sell,653414,0,9737
1784862985550264060,cancel,sell,653460,0,9702
1784862985550264060,add,sell,653460,765159,9753
1784862985551314363,add,sell,653376,765257,9754
1784862985551445500,cancel,sell,653401,0,8637
1784862985551445500,add,sell,653401,765227,9755
1784862985628409047,cancel,buy,653245,0,9751
1784862985628409047,cancel,buy,653125,0,9742
1784862985628409047,add,buy,653125,93920,9756
1784862985712802022,cancel,buy,653244,0,9750
1784862985712802022,add,buy,653244,32121,9757
1784862985785312653,cancel,sell,653412,0,9658
1784862985785312653,cancel,sell,653458,0,9752
1784862985785312653,add,sell,653458,849,9758
1784862985785459548,add,sell,653378,82593,9759
1784862985785499930,cancel,buy,653249,0,9740
1784862985785499930,add,buy,653249,1440439,9760
1784862986622265764,cancel,sell,653298,0,9712
1784862986622265764,cancel,sell,653458,0,9758
